house_id,purchase_price,%_change_between_offer_and_purchase,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
41751,1495000,0,3.35,1.13,4.34
41747,4700000,1,3.35,1.13,4.34
42110,2900000,-3,3.35,1.13,4.34
42057,2925000,-2,3.35,1.13,4.34
42002,2000000,0,3.35,1.13,4.34
42034,1475000,0,3.35,1.13,4.34
42086,2030000,-2,3.35,1.13,4.34
42024,2500000,0,3.35,1.13,4.34
41975,1900000,0,3.35,1.13,4.34
42094,1325000,-5,3.35,1.13,4.34
42116,312500,0,3.35,1.13,4.34
42144,1075000,-10,3.35,1.13,4.34
42074,5150000,0,3.35,1.13,4.34
41956,1350000,0,3.35,1.13,4.34
41953,2070000,-1,3.35,1.13,4.34
42015,2050000,-6,3.35,1.13,4.34
41982,2260000,0,3.35,1.13,4.34
42022,1685000,0,3.35,1.13,4.34
42186,1225000,-5,3.35,1.13,4.34
42169,3105000,0,3.35,1.13,4.34
42269,1770000,-4,3.35,1.13,4.34
42191,2700000,-4,3.35,1.13,4.34
42206,1305000,0,3.35,1.13,4.34
42329,1400000,0,3.35,1.13,4.34
42282,500000,0,3.35,1.13,4.34
42176,1700000,0,3.35,1.13,4.34
42157,2213889,0,3.35,1.13,4.34
42284,1350000,-3,3.35,1.13,4.34
42227,1975000,-1,3.35,1.13,4.34
42220,1390000,0,3.35,1.13,4.34
42209,930000,0,3.35,1.13,4.34
42190,1695000,-6,3.35,1.13,4.34
42276,525000,0,3.35,1.13,4.34
42289,1295000,0,3.35,1.13,4.34
42236,2395000,0,3.35,1.13,4.34
42182,415000,-17,3.35,1.13,4.34
42310,1800000,-5,3.35,1.13,4.34
42332,2995000,0,3.35,1.13,4.34
42372,8750000,0,3.35,1.13,4.34
42265,2525000,0,3.35,1.13,4.34
42293,2295000,-4,3.35,1.13,4.34
42242,2695000,0,3.35,1.13,4.34
42205,2020000,0,3.35,1.13,4.34
42508,1250000,-14,3.35,1.13,4.34
42475,6300000,-3,3.35,1.13,4.34
42417,850000,-8,3.35,1.13,4.34
42387,1250000,-16,3.35,1.13,4.34
42535,1820000,-9,3.35,1.13,4.34
42423,1405000,1,3.35,1.13,4.34
42445,2425000,0,3.35,1.13,4.34
42426,2825000,-6,3.35,1.13,4.34
42478,2600000,0,3.35,1.13,4.34
86963,370000,0,3.35,1.13,4.34
42621,1575000,0,3.35,1.13,4.34
86899,2375000,0,3.35,1.13,4.34
86919,970000,-3,3.35,1.13,4.34
86909,4520000,-6,3.35,1.13,4.34
42611,1650000,-5,3.35,1.13,4.34
86973,2395000,-4,3.35,1.13,4.34
86969,575000,-3,3.35,1.13,4.34
86901,4155000,4,3.35,1.13,4.34
86905,2100000,0,3.35,1.13,4.34
87011,1350000,-3,3.35,1.13,4.34
87025,1100000,5,3.35,1.13,4.34
87022,695000,-13,3.35,1.13,4.34
87032,3015000,0,3.35,1.13,4.34
87007,2700000,-4,3.35,1.13,4.34
87040,900000,0,3.35,1.13,4.34
87076,825000,-8,3.35,1.13,4.34
87094,2100000,-9,3.35,1.13,4.34
87107,3375000,-3,3.35,1.13,4.34
87055,925000,-7,3.35,1.13,4.34
87315,440000,-12,3.35,1.13,4.34
87300,6305000,0,3.35,1.13,4.34
87247,4723500,0,3.35,1.13,4.34
87273,498000,0,3.35,1.13,4.34
87206,1250000,0,3.35,1.13,4.34
87297,4200000,-5,3.35,1.13,4.34
87328,2925000,10,3.35,1.13,4.34
87116,2150000,0,3.35,1.13,4.34
87245,2350000,0,3.35,1.13,4.34
87182,1825000,-4,3.35,1.13,4.34
87253,500000,0,3.35,1.13,4.34
87269,2975000,-1,3.35,1.13,4.34
87152,1650000,0,3.35,1.13,4.34
87198,745000,0,3.35,1.13,4.34
87255,2185000,-9,3.35,1.13,4.34
87168,825000,0,3.35,1.13,4.34
87263,350000,0,3.35,1.13,4.34
87326,1625000,-4,3.35,1.13,4.34
87138,890000,0,3.35,1.13,4.34
87336,2995000,0,3.35,1.13,4.34
87151,2800000,-7,3.35,1.13,4.34
87195,825000,0,3.35,1.13,4.34
87129,848000,0,3.35,1.13,4.34
87225,900000,0,3.35,1.13,4.34
87441,975000,-11,3.35,1.13,4.34
87397,2223000,-3,3.35,1.13,4.34
87537,1088000,0,3.35,1.13,4.34
87547,2650000,-5,3.35,1.13,4.34
87437,1200000,0,3.35,1.13,4.34
87463,1195000,0,3.35,1.13,4.34
87468,1595000,0,3.35,1.13,4.34
87385,3700000,0,3.35,1.13,4.34
87389,2381600,0,3.35,1.13,4.34
87358,960000,0,3.35,1.13,4.34
87341,892500,0,3.35,1.13,4.34
87470,990000,0,3.35,1.13,4.34
87372,400000,0,3.35,1.13,4.34
87476,3500000,-9,3.35,1.13,4.34
87361,850000,-10,3.35,1.13,4.34
87497,400000,-33,3.35,1.13,4.34
87380,4800000,0,3.35,1.13,4.34
87467,1500000,-6,3.35,1.13,4.34
87379,715000,0,3.35,1.13,4.34
87496,1465000,0,3.35,1.13,4.34
87513,2545000,0,3.35,1.13,4.34
87343,325000,0,3.35,1.13,4.34
87405,2595000,0,3.35,1.13,4.34
87626,548000,0,3.35,1.13,4.34
87675,1675000,-7,3.35,1.13,4.34
87593,900000,-10,3.35,1.13,4.34
87664,2050000,0,3.35,1.13,4.34
87568,3150000,0,3.35,1.13,4.34
87710,545000,-4,3.35,1.13,4.34
87565,5270000,0,3.35,1.13,4.34
87691,740000,-5,3.35,1.13,4.34
87638,9000000,-5,3.35,1.13,4.34
87571,3300000,-6,3.35,1.13,4.34
87734,2306000,0,3.35,1.13,4.34
87684,1805000,20,3.35,1.13,4.34
87632,7000000,-7,3.35,1.13,4.34
87743,1350000,-3,3.35,1.13,4.34
87715,2600000,-3,3.35,1.13,4.34
87977,6410680,0,3.35,1.13,4.34
87763,4800000,-8,3.35,1.13,4.34
87836,3225000,0,3.35,1.13,4.34
87877,825000,-8,3.35,1.13,4.34
87864,1275000,-15,3.35,1.13,4.34
87965,2845000,0,3.35,1.13,4.34
87760,1495000,-6,3.35,1.13,4.34
87973,1050000,0,3.35,1.13,4.34
87894,2025000,-8,3.35,1.13,4.34
87833,433000,0,3.35,1.13,4.34
87790,1450000,-3,3.35,1.13,4.34
87863,375000,0,3.35,1.13,4.34
87982,2575000,0,3.35,1.13,4.34
87919,2395000,0,3.35,1.13,4.34
87942,725000,0,3.35,1.13,4.34
87834,2250000,-4,3.35,1.13,4.34
88113,2025000,-4,3.35,1.13,4.34
88013,2065000,0,3.35,1.13,4.34
88185,825000,-8,3.35,1.13,4.34
88008,900000,0,3.35,1.13,4.34
87996,2800000,-3,3.35,1.13,4.34
88045,4025000,-10,3.35,1.13,4.34
88058,7100000,-11,3.35,1.13,4.34
88060,2000000,0,3.35,1.13,4.34
88054,7250000,0,3.35,1.13,4.34
88011,1595000,0,3.35,1.13,4.34
88027,4495000,0,3.35,1.13,4.34
